datetime,low,high,open,close,volumefrom,volumeto
05/12/2017 21:00,458.8,462.99,461.7,462.99,7914.59,3647486.21
05/12/2017 22:00,458.04,463.01,462.99,459.1,6527.2,3005916.13
05/12/2017 23:00,457,459.73,459.1,457.3,6657.28,3052380.58
06/12/2017 00:00,456.2,459.17,457.3,459.17,9063.66,4147332.19
06/12/2017 01:00,457.01,460,459.17,459.05,7142.6,3279322.06
06/12/2017 02:00,459,461.99,459.05,460,7677.81,3535264.67
06/12/2017 03:00,456.15,460.2,460,459.31,11510.8,5273661.37
06/12/2017 04:00,456.77,459.87,459.31,457.1,7050.68,3230814.4
06/12/2017 05:00,455.35,458.2,457.1,455.93,8132.22,3710086.22
06/12/2017 06:00,455.89,459,455.93,458.3,7648.57,3492747.59
06/12/2017 07:00,453.63,459,458.3,457.78,9073.67,4140749.2
06/12/2017 08:00,456,459.5,457.78,458.48,6605.44,3026370.49
06/12/2017 09:00,453.38,459.77,458.48,454.87,7195.9,3281255.71
06/12/2017 10:00,453.36,457.5,454.87,455.02,3872.93,1764396
06/12/2017 11:00,451.5,455.99,455.02,455.98,7634.42,3460446.79
06/12/2017 12:00,454.88,457.3,455.98,455.88,4529.71,2067559.25
06/12/2017 13:00,452,457,455.88,452,13531.23,6134883.12
06/12/2017 14:00,451.5,452.49,452,451.5,11473.92,5184503.9
06/12/2017 15:00,441.2,452.5,451.5,441.2,22562.49,10137793.57
06/12/2017 16:00,435.12,444.47,441.2,439.75,28029.4,12329734.26
06/12/2017 17:00,438.78,443.39,439.75,439.52,20720.16,9138630.64
06/12/2017 18:00,437.57,441.9,439.52,438.41,15648.08,6882956.48
06/12/2017 19:00,432,438.51,438.41,433.54,21929.35,9547565
06/12/2017 20:00,425.01,435.95,433.54,430.92,32587.59,13965891.28
06/12/2017 21:00,430.92,445,430.92,437.44,26603.8,11660390.46
06/12/2017 22:00,431.62,441.57,437.44,432.05,16610.6,7255938.55
06/12/2017 23:00,428.11,439.42,432.05,432.49,23333.8,10131210.62
07/12/2017 00:00,428.64,435.44,432.49,435.44,11649.58,5023553.64
07/12/2017 01:00,430.14,438.5,435.44,438.48,14889.95,6480591.99
07/12/2017 02:00,435,448.89,438.48,446,16000.44,7068057.92
07/12/2017 03:00,441.66,448.67,446,443.09,10411.48,4637236.82
07/12/2017 04:00,440.1,445.44,443.09,441.58,6632.38,2933918.99
07/12/2017 05:00,436.5,443,441.58,440.01,6466.02,2846027.27
07/12/2017 06:00,436.05,440.84,440.01,438.02,6418.86,2814526.22
07/12/2017 07:00,435.05,438.07,438.02,435.13,5177.01,2259884.25
07/12/2017 08:00,428,435.71,435.13,430.57,8043.29,3474025.96
07/12/2017 09:00,426,435,430.57,426,7648.1,3286811.93
07/12/2017 10:00,420,429.44,426,425.13,12861.75,5441695.39
07/12/2017 11:00,420,431.51,425.13,430.96,11390.65,4841237.56
07/12/2017 12:00,425.5,432.21,430.96,429.35,16303.39,6990896.75
07/12/2017 13:00,427,440,429.35,436.48,11334.51,4919394.08
07/12/2017 14:00,431.08,444.36,436.48,444.1,14681.36,6412440.43
07/12/2017 15:00,434.39,448,444.1,437.41,20784.67,9197462.58
07/12/2017 16:00,425.12,438,437.41,425.5,15065.9,6540059.56
07/12/2017 17:00,415.01,427.48,425.5,421.84,20004.98,8438409.11
07/12/2017 18:00,421.84,434.95,421.84,433.81,18757.26,8041112.44
07/12/2017 19:00,421.3,435.97,433.81,428.16,18064.34,7785386.08
07/12/2017 20:00,427.77,440.45,428.16,439.7,16822.94,7338847.43
07/12/2017 21:00,431.51,440.25,439.7,436.36,14979.62,6562669.5
07/12/2017 22:00,429.1,438.6,436.36,433.37,11837.04,5125358.41
07/12/2017 23:00,428.8,436.47,433.37,433.28,15992.68,6915405.82
08/12/2017 00:00,423.72,434.48,433.28,423.76,20181.3,8622072.02
08/12/2017 01:00,423.05,428.81,423.76,428.25,10191.47,4337509.28
08/12/2017 02:00,420.01,428.82,428.25,424.43,14584.27,6172755.07
08/12/2017 03:00,421.76,438,424.43,430.04,17937.9,7736575.36
08/12/2017 04:00,425.86,432,430.04,427.02,10528.96,4508117.92
08/12/2017 05:00,427.01,438.73,427.02,433.4,22093.29,9601928.82
08/12/2017 06:00,426.5,435.1,433.4,427.2,10678,4595732.32
08/12/2017 07:00,426.13,432,427.2,431.26,8168.64,3502909.55
08/12/2017 08:00,429.6,439.93,431.26,439.51,7722.87,3367224.78
08/12/2017 09:00,435.5,443,439.51,442.99,7163.94,3150884.48
08/12/2017 10:00,439.53,449,442.99,449,6786.83,3016421.01
08/12/2017 11:00,448.99,461.75,449,454,26914.76,12252291.32
08/12/2017 12:00,453.27,460,454,454.94,10250.47,4681881.8
08/12/2017 13:00,450.77,463,454.94,461.03,17338.08,7932123.28
08/12/2017 14:00,450.85,465,461.03,459.39,17961.97,8276661.54
08/12/2017 15:00,451.01,463,459.39,459.16,18591.72,8515571.91
08/12/2017 16:00,457.09,479.1,459.16,470.59,40156.24,18761280.75
